,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
10,2.29,46.27,2.4,38.14,26.35,52.58,19.89,3.33,9.72,3.08,2.29,57.48,15.13,2.05,176.14,2.52,2.51,98.07,725.2,25.81,0.12,74.19,2.84,50.26,34.79,80.18,3.69,73.23,83.25,24.28,505.58,0,3.42,-19.95,2.03,7.65,0.1,0,0.91,19790,9156,5216,124,-18,5198,4221,3571,9541,4022,172082,65797,44412,26108,126713,3.35,3.08,87.79,37.78,0.24,0.12,7.15,2236.95,0.35,777.2,0.48,0.06,2.42,0.21,36.54,002492
11,0.21,30.83,0.2,7.95,24.35,68.09,1.92,0.22,0.76,0.22,0.21,29.85,6.64,-304.15,511.55,3.48,3.33,202.36,-416.24,7.32,12.6,92.68,1.85,151.28,7.89,100.82,2.24,72.98,83.17,7.11,490.84,63.07,12.09,-86.66,20.3,7.75,0.01,0.1,0.08,57237,17643,13939,4,-10490,3449,1101,11380,11374,29525,532981,122150,38994,35112,493988,0.22,4.81,56.08,7.15,0.11,0.1,37.74,2618.82,0.4,678.39,0.2,0.02,10.33,0.29,32.39,000557
12,2.1,58.45,2.09,52.48,34.43,40.76,25.44,3.91,10.3,3.53,2.1,61.43,23.98,-0.11,169.95,1.92,1.92,186.91,333.1,40.48,4.38,59.52,31.95,102.44,68.02,92.7,34.93,73.71,142.46,66.98,250.34,0,-12.2,-35.19,3.67,-0.76,0.1,1.16,0,54678,31959,18826,-336,-21,18804,14119,14153,33542,48625,661103,100583,267643,52320,360907,3.96,28.93,12.44,209.81,0.22,0.08,1.29,3276.7,0.57,476.27,0.61,0.05,2.41,0.13,64.11,601518
13,4.29,36.64,4.67,106.03,96.64,61.89,72.65,7.48,365.12,7.33,4.29,38.16,27.84,39.5,37.89,0.56,0.55,38.94,676.16,41.51,-0.79,58.49,4.95,347.87,70.96,145.06,7.81,61.49,157.35,32.78,446.19,16.91,404.75,956.23,1491.42,1974.02,1.38,5.55,0.82,901276,330202,870997,343756,543,871541,247027,72505,395655,188888,15263322,1215924,6335563,2170310,3300606,7.74,5.8,46.58,38.99,0.24,0.06,6.93,4205.61,0.79,339.92,0.44,0.03,0.6,0.06,18.23,000022
14,5.19,32.79,5.39,20.3,16.38,66.48,14.26,7.36,23.78,7.26,5.19,32.69,13.54,8.4,200,3.15,2.43,33.17,-18313.47,28.53,,71.47,,1108.38,39.93,,,53.3,22.78,37.14,,6.82,4.08,0.18,5.64,11.77,0.24,5.3,0.8,50148,16444,8212,681,10,8222,7230,6231,-5785,-21813,137819,115379,39325,36578,98185,7.42,1.71,158.14,1.23,4.32,0.38,220.32,714.1,0.46,587.08,-0.12,-0.04,-0.81,-0.15,-15.81,603066
15,2.89,15.48,2.95,9.74,8.95,83.83,6.82,4.98,34.59,4.98,2.89,21.35,7.95,8.98,171.83,2.39,2.16,98.95,1267.59,42.01,0.38,57.99,11.12,52.47,72.43,71.46,16.09,51.69,85.17,55.66,278.79,38.95,2.42,29.25,6.02,4.66,0.33,3.34,1.04,169402,26223,15162,1271,99,15261,10932,9809,1892,-2456,399873,202360,167969,84605,219663,5.15,46.96,5.75,6.2,0.91,0.43,43.56,624.86,0.83,326.44,0.01,0,0.16,0.01,2.24,002627
16,6.64,12.18,6.79,8.91,8.17,87.52,6.41,10.92,48.74,10.72,6.64,12.33,4.27,3.87,148.45,1.71,1.69,75.65,4414.81,38.03,0.0,61.97,0.0,197.7,61.37,27.55,0.0,81.45,100.73,35.55,670.66,31.01,16.07,9.19,23.24,36.75,0.49,6.1,0.26,2161615,263231,176686,6228,639,177325,137647,134091,198075,-60324,2086845,784240,793633,459704,1260495,11.41,16.72,16.15,317.13,2.42,1.06,0.85,255.03,2.6,103.96,0.09,0.09,1.43,0.25,43.09,600233
17,2.67,26.24,2.72,24.59,20.43,73.18,15.49,4.57,19.38,4.39,2.67,28.6,8.88,7.75,129.1,0.55,0.53,18.16,490.4,39.19,-1.1,60.81,11.09,133.79,64.44,121.84,15.42,55.5,144.05,55.25,251.47,44.89,0.09,-2.86,9.58,5.47,0.17,2.87,0.05,384670,100931,78583,6460,-400,78183,53505,46495,93630,-2680,2233466,277004,875265,502742,1169859,4.64,5.61,48.1,28.25,0.25,0.18,9.56,1539.34,1.38,196.05,0.24,0.04,1.57,0.11,18.62,600017
18,4.42,36.57,4.46,37.96,27.51,62.84,20.42,4.71,17.63,4.71,4.42,33.85,9.07,0.34,132.88,7.37,7.31,701.98,-2199.49,6.22,0.01,93.78,0.31,119.73,6.63,63.6,0.33,59.86,63.81,6.14,1718.03,59.08,4.74,-17.17,1.83,1.02,0.18,0,0.64,85531,31279,23531,71,8,23539,17467,17435,28664,14527,395621,158894,24615,21549,371006,4.69,33.88,7.97,35.8,0.85,0.22,7.54,1236.83,0.57,474.1,0.34,0.07,1.64,1.16,133.02,002320
19,1.52,14.44,1.67,5.25,4.64,85.33,3.91,6.24,37.23,5.81,1.52,11.65,13.02,19.38,279.03,0.19,0.17,1.35,184.49,73.89,-0.03,26.11,0.79,92.02,282.93,350.74,2.94,53.21,361.36,115.81,326.66,27.44,7.14,-5.97,-1.27,20.92,0.33,3.34,0.27,11666500,1684800,541800,55000,62000,603800,407800,360100,2477600,-619000,30101600,1695600,22240800,8865300,6531500,6.26,36.1,7.48,52.15,0.58,0.43,5.18,633.8,5.69,47.48,0.21,0.08,5.43,0.11,27.95,600029
