,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
185,6,76.9,6.07,40.51,28.1,22.6,23.78,6.62,170.09,6.71,6,78.54,46.18,2.2,274.07,7.71,6.95,553.79,-655.43,10.67,0.01,89.33,0.34,817.99,11.95,48.59,0.38,69.3,48.78,8.58,1128.22,10.88,5.15,-10.4,13.3,7.96,1.57,23.71,1.25,114471.0,88033.0,32167.0,752.0,-46.0,32120.0,25105.0,24026.0,20070.0,-6510.0,453987.0,256176.0,48452.0,33212.0,379424.0,6.78,3.12,86.58,1.15,1.74,0.26,234.76,1058.41,0.47,572.52,0.18,0.04,0.74,0.41,60.43,688366
186,2.38,65.77,2.38,13.4,7.6,32.76,9.68,2.58,12.14,2.58,2.38,66.64,55.22,54.08,548.61,7.87,6.99,158.28,-4496.47,7.78,0.44,92.22,8.42,312.33,8.43,75.1,11.06,69.45,46.32,7.89,297.4,29.49,-18.54,-49.75,-9.8,-8.57,0.12,7.21,2.41,40442,26597,3074,848,1774,4848,3916,1559,5297,4471,164856,94430,12822,11997,152034,2.61,13.76,19.62,1.35,0.54,0.25,200.59,1100.69,0.44,619.41,0.13,0.03,1.35,0.41,44.16,603168
187,5.45,71.51,5.59,23.97,19.77,26.59,16.63,7.02,20.53,7.02,5.45,73.44,55.12,28.93,356.79,1.4,1.2,28.15,1644,22.4,0.0,77.6,0.0,210.08,28.86,61.36,0.0,72.69,89.91,27.74,233.35,28.85,-6.15,19.62,12.68,5.77,0.21,0,0.69,62117,44421,12278,3430,172,12450,10331,9576,12106,3215,189574,57297,42458,40811,147116,7.25,2.33,115.86,1.86,0.96,0.34,145.3,802.85,1.17,231.22,0.19,0.06,1.17,0.29,29.66,002412
188,2.22,39.17,2.34,14.7,15.08,59.55,12.79,2.51,9.22,2.76,2.22,44.77,40.83,65.03,262.06,1.79,1.47,51.98,-4746.24,19.51,0.05,80.49,0.42,1132.39,24.23,103.37,0.52,50.39,103.57,11.55,990.62,7.0,8.6,0.56,14.88,12.87,0.08,2.32,-0.03,86977,34065,13120,8575,-121,12999,9594,5188,-10326,-9286,500535,83269,97633,46539,381756,2.65,4.09,66.06,3.51,1.72,0.18,77,1477.02,1.01,267.75,-0.12,-0.02,-0.93,-0.11,-22.19,900917
189,2.36,34.42,2.3,10.05,8.87,64.66,7.67,3.54,25.06,4.09,2.36,54.6,21.33,-2.52,394.1,1.78,0.85,17.86,338.81,42.35,0.15,57.65,3.07,166.15,73.46,87.78,5.06,63.05,92.46,50.95,313.95,39.57,13.08,11.37,21.36,7.49,0.2,1.91,0.38,140223,48271,12442,-116,-193,12249,8328,6535,24516,-71155,455768,212845,193024,119862,235524,3.78,2.61,103.55,0.86,0.69,0.3,314.5,900.9,0.59,454.01,0.17,0.05,2.28,0.13,20.45,300381
190,4.43,34.93,4.61,28.63,24.67,64.6,20.92,9.82,52.64,9.43,4.43,34.78,21.16,66.16,141.45,1.01,0.63,24.51,667.81,53,19.68,47,7.36,765.75,112.77,115.22,13.53,53.77,133.25,94.37,214.96,6.94,-5.79,53.07,17.56,9.35,0.54,1.63,0.15,313903,109636,77427,51199,84,77511,67128,22198,-15146,-82691,1480744,553397,784793,547864,683457,10.41,2.86,94.27,1.13,1.16,0.22,239.49,1223.93,0.56,478.81,-0.05,-0.01,-0.23,-0.02,-2.76,002399
191,7.51,81.48,7.55,30.53,22.73,17.75,19.59,8.23,19.44,8.23,7.51,83.44,56.79,4.55,354.46,10.19,9.38,434.15,-1914.19,8.69,0,91.31,0,423.02,9.51,87.07,0,60.41,22.22,8.56,150.02,0,-7.53,-12.65,1.42,-0.52,0.2,3.1,1.64,106336,86643,24165,834,279,24444,20830,19372,17637,39477,277325,221047,24093,21682,253233,8.18,2.41,111.82,1.08,1.53,0.39,250.67,700.93,0.49,554.76,0.17,0.06,0.85,0.73,81.34,300039
192,6.92,62.31,7,31.11,23.22,36.4,19.34,9,45.57,8.94,6.92,41.89,36.71,-0.52,269.22,3.2,2.77,110.65,2502.22,22.66,0.23,77.34,7.18,163.05,29.3,63.96,8.5,63.78,69.9,27.83,436.03,29.17,10.14,5.95,6.01,3.46,0.45,0,0.45,191907,119572,44553,-92,-138,44415,36858,35826,28865,-9142,536748,246601,121640,76955,409712,9.15,3.39,79.54,2.26,1.12,0.36,119.31,746.48,0.79,342.03,0.15,0.05,0.78,0.24,37.51,002317
193,5.19,27.38,4.77,12.93,11.53,72,10.23,6.57,35.87,6.5,5.19,18.83,17.84,43.96,234.1,2.16,1.43,34.19,5329.35,20.21,1.14,79.79,5.22,203.21,25.33,87.18,15.86,55.37,73.37,24.09,139.02,13.63,-7.47,-19.78,5.45,-14.42,0.32,2.8,0,295485,80917,34073,14703,492,34565,27183,26729,-30066,-45784,582844,241674,117814,112016,413855,6.63,5.64,47.87,2.69,1,0.47,100.49,578.9,0.96,280.46,-0.1,-0.05,-0.99,-0.26,-26.84,600195
194,2.81,74.73,2.87,6.11,1.54,24.09,5.04,5.2,21.06,4.56,2.81,38.21,69.28,82.18,1294.72,2.12,1.71,63.33,579.16,38.27,0.51,61.73,13.07,171.03,62,69.18,17.47,67.97,83.82,58.11,263.43,26.5,5.81,77.64,1.77,5.18,0.21,1.07,-0.39,87019,65032,1338,443,3685,5023,4360,492,3482,7759,155999,75281,59704,35568,83853,5.32,3.34,80.91,1.52,0.91,0.57,177.32,474.02,1.25,215.28,0.04,0.02,0.79,0.06,9.79,300254
