,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code,model,location
27,-2.87,8.29,-2.86,-5.46,-5.58,88.21,-5.91,-6.11,-55.52,-6.13,-2.87,17.99,10.69,21.05,-148.09,1.08,0.94,25.46,2008.53,53.23,6.46,46.77,16.32,152.13,113.81,92.92,45.74,82.49,111.48,94.96,124.0,19.75,-9.5,-327.71,-7.04,-1.79,-0.55,1.95,-0.09,4511542.0,373888.0,-251570.0,-52241.0,-901.0,-252471.0,-266151.0,-353326.0,375782.0,20219.0,9294673.0,4448583.0,4947589.0,4128078.0,4356800.0,-5.93,25.99,10.39,7.43,1.27,0.48,36.34,557.85,1.03,262.42,0.08,0.04,-6.41,0.08,9.1,200625,3,0
28,1.47,17.65,1.52,6.31,5.61,81.4,6.55,3.37,9.77,3.3,1.47,34.22,15.06,127.08,286.97,1.08,0.64,18.71,230.57,55.38,1.02,44.62,3.69,83.34,124.13,104.41,7.63,73.71,113.04,111.27,198.1,0.0,8.9,-12.7,8.61,6.32,0.1,1.05,0.0,137273.0,24227.0,7701.0,9987.0,741.0,8442.0,9046.0,8546.0,6534.0,2857.0,610542.0,302628.0,338141.0,280608.0,268356.0,3.43,1.44,186.89,0.94,0.48,0.23,286.29,1167.32,0.48,568.18,0.05,0.01,0.73,0.02,2.33,2510,3,11
29,6.41,30.42,6.32,16.97,13.76,68.37,12.09,9.25,64.28,10.32,6.41,32.06,11.4,2.5,221.34,1.24,0.79,26.91,27404.91,37.82,0.17416,62.18,4.816400000000002,227.07,60.83,84.23672,9.659759999999999,59.67,87.45,59.0,252.05600000000004,26.17,10.01,56.38,29.83,28.45,0.49,4.56,0.42,82249.0,25022.0,11321.0,298.0,-16.0,11305.0,7617.0,7087.0,9723.0,-5014.0,154987.0,70716.0,58620.0,56856.0,82365.0,9.48,2.74,98.69,2.31,1.33,0.52,117.08,516.45,1.08,249.93,0.12,0.06,0.98,0.17,17.1,603089,3,29
30,-11.58,4.27,-10.41,-37.99,-45.99,95.22,-39.47,-54.54,-200.88,-53.61,-11.58,17.44,27.23,-8.01,-9.14,0.51,0.43,15.23,-213.6,78.4,-0.1,21.6,3.51,167.46,362.91,247.2,13.97,77.93,287.36,359.46,121.2,17.86,-19.52,-2085.19,-35.13,-25.53,-2.02,1.34,0.58,668605.0,28543.0,-307521.0,29795.0,-4782.0,-312303.0,-263328.0,-250224.0,-78165.0,6874.0,2278581.0,864112.0,1786346.0,1689431.0,482846.0,-42.92,2.9,92.98,4.16,1.44,0.26,64.9,1023.5,0.61,445.62,-0.12,-0.03,1.06,-0.04,-4.63,601777,3,0
31,-1.33,11.65,-1.4,-1.66,-2.2,83.42,-1.59,-3.45,-16.87,-3.52,-1.33,20.84,13.44,-167.19,-690.57,0.94,0.72,4.64,-1292.61,62.14,-9.57,37.86,6.98,150.96,164.11,106.36,15.31,79.5,118.67,154.15,163.25,25.58,-9.15,-202.13,-4.98,19.56,-0.16,3.2,0.56,1729156.0,201482.0,-38101.0,39854.0,8925.0,-29176.0,-26663.0,-37036.0,104925.0,7640.0,2062793.0,1135982.0,1281771.0,1203932.0,773502.0,-3.38,13.63,19.81,5.95,3.55,0.88,45.34,306.47,1.63,165.56,0.06,0.05,1.45,0.08,8.72,800,3,19
32,1.67,11.82,1.63,3.09,3.02,87.78,3.14,4.54,15.59,4.1,1.67,12.24,8.59,120.08,395.63,1.38,1.22,14.81,-1077.54,59.19,0.0,40.81,0.0,526.74,145.04,85.49,0.01,40.27,55.06,138.0,184.67,7.38,7.57,-22.92,3.57,8.32,0.17,2.96,-0.5,994215.0,117560.0,30062.0,36029.0,-348.0,29714.0,33203.0,30399.0,-182800.0,-98877.0,1863320.0,1444665.0,1102895.0,1049392.0,730725.0,4.6,1.52,177.26,5.01,4.65,0.52,53.87,519.53,0.67,405.65,-0.18,-0.1,-5.86,-0.17,-17.42,600006,3,26
33,-10.96,19.91,-9.82,-25.46,-24.77,79.4,-21.93,-23.22,-65.62,-23.22,-10.96,28.82,16.82,-0.4,-80.71,0.84,0.56,11.35,-950.87,52.78,-0.5,47.22,3.77,70.05,111.77,115.91,7.4,75.21,125.18,110.53,182.4,0.0,-58.22,-165.64,-19.89,-23.33,-0.66,1.57,0.47,115909.0,23079.0,-28711.0,0.0,115.0,-28596.0,-25415.0,-26410.0,-529.0,-22039.0,231824.0,94798.0,122356.0,112240.0,109468.0,-20.8,2.25,120.17,2.81,0.62,0.45,95.93,602.95,0.98,275.62,-0.0,-0.0,1.45,-0.0,-0.47,300176,3,9
34,4.97,19.66,5.05,9.15,8.09,79.75,7.09,9.03,58.42,9.03,4.97,20.26,8.12,1.3,242.88,1.67,1.21,32.68,1515.84,44.96,0.26,55.04,6.42,208.06,81.68,63.85,10.45,60.49,71.3,77.71,220.18,25.29,433.78,490.89,439.78,596.07,0.6,7.27,0.1,476872.0,93735.0,38565.0,472.0,28.0,38593.0,33601.0,32220.0,47731.0,-14381.0,679818.0,413033.0,305640.0,247129.0,371979.0,10.13,4.6,58.7,3.27,1.83,0.71,82.47,378.95,1.16,231.8,0.1,0.07,1.41,0.16,19.31,300428,3,6
35,0.01,11.64,0.01,0.77,0.7,87.76,0.02,0.15,0.06,0.01,0.01,22.11,8.53,-33.33,1556.32,2.84,2.26,114.81,134.55,43.75,0.3,56.25,9.93,94.86,77.78,74.44,15.0,69.34,87.58,49.45,346.76,42.89,42.45,-98.89,-7.37,-0.96,0.01,2.3,0.0,361316.0,42067.0,2513.0,-1091.0,190.0,2703.0,716.0,-614.0,28851.0,-16697.0,903537.0,458439.0,395309.0,161596.0,469656.0,0.15,3.54,76.22,3.27,0.89,0.39,82.65,691.95,0.76,355.87,0.08,0.03,468.54,0.07,17.85,600960,3,28
36,3.25,26.13,3.16,10.43,8.17,73.08,7.26,5.12,28.92,4.89,3.25,34.16,13.05,12.27,288.3,2.24,1.86,22.05,-2778.88,33.48,0.0,66.52,0.0,307.04,50.32,37.62,0.0,77.47,52.9,43.49,240.53,0.0,-7.78,123.41,8.54,-0.94,0.28,0.0,0.0,250387.0,65437.0,20447.0,534.0,2251.0,22698.0,17562.0,13239.0,2387.0,-15728.0,559218.0,362407.0,187201.0,161781.0,343328.0,5.22,2.1,128.3,2.81,16.52,0.44,95.94,619.69,0.66,410.27,0.01,0.0,0.13,0.01,1.48,2454,3,2
