,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
71,2.3,47.02,2.24,24.07,17.85,52.66,14.28,2.53,9.18,2.76,2.3,12.11,21.67,1.49,261.63,2.97,2.16,15.35,1363.42,16.55,0.03,83.45,0.75,151.45,19.83,65.5,0.89,73.89,66.09,18.99,607.02,28.5,9.64,-11.26,-9.9,-4.05,0.08,0,0.86,69528,32691,12412,102,84,12495,8887,8059,-21298,-23859,431356,193426,71369,65110,351714,2.5,0.8,337.42,0.79,1.67,0.16,343.64,1719.75,0.33,811.3,-0.31,-0.05,-2.15,-0.3,-32.71,002413
72,1.43,24.5,1.6,4.89,4.23,74.91,3.65,2.14,6.7,2.15,1.43,19.48,10.51,-20.97,581.96,2.76,2,148.59,-250.33,33.43,0.0,66.57,0.0,81.19,50.21,121.51,0.0,82.1,25.71,45.16,150.98,40.2,1.27,3.48,44.17,24.72,0.07,1.66,0,81966,20079,3466,-707,-16,3450,2969,3029,-6893,29086,208766,173038,69786,62766,138556,2.56,4.82,56,1.33,2.77,0.44,203.21,615.31,0.55,495.32,-0.08,-0.03,-2.3,-0.1,-10.98,002017
73,10.83,29.09,11.78,25.73,19.53,70.12,16.99,17.84,49.35,17.84,10.83,12.77,4.96,0.25,149,1.84,1.26,32.71,-20636.92,39.27,-1.79,60.73,3.94,103.07,64.65,104.85,8.69,52.37,63.35,55.16,168.75,40.11,30.18,122.13,25.33,19.69,0.5,1.82,0.27,501034,145749,97855,289,-40,97816,85121,81257,98037,58872,785678,483405,308498,263228,477180,19.53,3.28,82.21,2.76,1.07,0.69,97.73,389.5,1.19,226.53,0.2,0.12,1.15,0.32,37.24,002463
74,9.87,31.58,10.94,31.86,23.35,68.08,20.68,12.45,152.69,12.55,9.87,46.35,6,9.06,133.19,4.21,3.11,52.08,-40279.15,21.4,0.29,78.6,10.32,230.4,27.22,46.65,16.1,81.54,20.6,25.33,211.73,26.87,30.72,-20.96,17.66,31.3,1.46,1.63,0.04,141776,44769,33101,2534,512,33613,28009,22275,-11355,-2347,297101,248982,63568,59161,225046,13.01,3.74,72.13,2.07,0.43,0.53,130.64,510.2,0.61,443.42,-0.08,-0.04,-0.39,-0.18,-19.19,300747
75,5.8,31.52,5.9,20.82,14.82,67.98,14.03,6.93,45.09,6.68,5.8,45.3,2.66,2.11,212.89,6.83,5.58,532.63,-321.59,13.15,,86.85,,5044.8,15.13,,,63.8,16.29,14.47,,1.68,3.05,6.04,1.13,2.47,0.46,1.96,0.91,106253,33494,15750,349,-17,15733,15183,12316,27424,42545,256985,220624,33781,32306,219120,7,22.17,12.18,1.7,1.72,0.42,159.11,642.09,0.49,548.89,0.26,0.11,1.84,0.81,84.89,300458
76,0.95,15.58,1.03,3.85,3.37,84.09,2.17,2.62,21.75,2.5,0.95,13.37,7.89,5.15,438.21,1.32,0.89,26.08,180.33,61.86,0.42,38.14,6.87,223.46,162.21,74.51,15.26,74.06,87.93,149.76,170.21,17.3,61.34,0.87,2.76,22.69,0.23,7.5,-0.03,104166,16225,3512,-30,191,3703,2362,1453,-10947,-16006,237315,157729,146809,119242,90198,2.65,2.16,124.91,1.88,1.55,0.48,143.53,567.47,0.7,386.32,-0.11,-0.05,-4.84,-0.07,-9.18,002876
77,13.04,37.93,13.42,44.96,29.23,61.29,25.11,16.98,142.61,16.9,13.04,38.22,2.97,4.1,129.69,3.61,3.07,73.42,-1049.53,22.87,0,77.13,0.05,1253.11,29.66,31.61,0.07,66.04,31.63,27.22,470.07,6.17,29.02,8.32,9.69,16.16,1.42,2.99,1.19,260157,98667,76043,3081,39,76082,64993,61062,15331,-30712,501130,378867,114631,104936,382668,17.43,2.7,99.91,3.56,6.06,0.53,75.95,505.33,0.68,398.52,0.06,0.03,0.23,0.13,14.61,002925
78,1.02,21.37,1.04,3.46,3.09,77.88,2.9,1.22,9.03,1.22,1.02,21.35,11.31,36.72,687.74,4.29,3.29,130.82,-48.11,16.24,0.1,83.76,5.88,486.53,19.38,28.99,7.14,65.23,41.52,18.13,485.39,17.4,33.44,-83.21,-5.18,1.64,0.09,5.15,0.43,25987,5554,804,293,3,808,753,-38,-71,-5892,73554,47972,11942,11171,61612,1.24,3.29,82.17,1.88,1.67,0.36,143.72,755.03,0.53,512.82,-0,-0,-0.09,-0.01,-0.64,300548
79,6.73,32.88,7.34,23.37,18.34,66.1,15.84,9.44,27.67,9.44,6.73,34.55,11.35,0.93,179.31,1.59,1.24,31.44,1791.46,28.68,0.45,71.32,5.49,149.83,40.22,86.97,7.15,48.46,93.66,37.04,370.36,48.22,17.32,24.92,13.39,12.24,0.28,2.93,0.42,34928.0,11484.0,6404.0,59.0,0.0,6405.0,5533.0,4911.0,8429.0,-2852.0,82166.0,27279.0,23566.0,17195.0,58600.0,9.91,2.59,104.09,4.33,0.56,0.46,62.3,583.03,1.28,211.75,0.24,0.1,1.52,0.36,49.02,688138
80,-0.97,15.79,-0.95,-4.78,-4.97,83.93,-4.56,-3.16,-43.38,-2.99,-0.97,40.03,19.61,-0.25,-318.17,1.03,0.61,12.7,-128.7,67.67,1.37,32.33,2.8,251.01,209.29,106.57,7.96,65.39,115.78,195.84,151.96,22.76,-26.27,32.19,7.65,11.19,-0.45,1.8,0,151516,23920,-7537,0,19,-7518,-7237,-8885,-57070,-73872,715403,447588,484097,432990,229032,-3.09,0.88,307.94,0.83,0.51,0.21,325.93,1301.2,0.32,836.69,-0.38,-0.08,0.0,-0.12,-13.18,600990
