,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
123,6.8,23.12,7.05,18.3,15.02,76.28,12.93,11.48,192.27,11.48,6.8,25.17,5.11,-0.15,154.06,2,1.56,23.54,28027.08,40.77,0.0,59.23,0.0,284.71,68.83,47.88,0.0,78.77,41.67,63.64,197.78,18.09,10.22,20.89,10.18,12.2,1.92,1.15,0.25,410508,94896,61639,-53,-41,61598,53136,49629,57029,-5793,781223,588415,318502,294482,462721,11.77,5.55,48.64,2.39,1.19,0.55,112.77,495.32,0.71,378.47,0.14,0.07,1.07,0.18,19.37,601799
124,2.55,22.39,2.53,5.35,4.52,77.18,4.03,3.56,25.97,3.56,2.55,22.08,6.94,39.74,494.58,3.44,2.74,19.55,1958.02,28.35,,71.65,,721.89,39.57,,,51.33,34.69,30.49,,10.04,-12.7,-57.73,3.13,-2.4,0.26,3.31,0.22,354576,79390,16028,6356,24,16052,14274,5810,17327,-3771,559759,420637,158694,122294,400801,3.57,2.98,90.68,3.57,4.09,0.63,75.72,429.25,0.8,335.78,0.05,0.03,1.21,0.11,14.17,002920
125,1.58,12.6,1.59,4.24,4.06,86.53,3.31,3.35,9,3.29,1.58,14.98,8.35,-2.37,310.66,1.39,0.6,18.43,327.61,51.89,0.06,48.11,1.14,264.69,107.85,59.53,2.31,73.74,60.93,107.75,185.85,0,-14.17,4.61,1.93,-0.33,0.09,0.0,0.0,190744,24036,7739,-182,-2,7737,6350,5440,-3557,-18987,398170,281441,206605,201883,189587,3.38,3.47,77.87,1.09,0.79,0.48,246.82,560.51,0.68,397.18,-0.02,-0.01,-0.56,-0.02,-1.76,002593
126,4.79,30.46,5.22,15.64,12.63,68.4,11.29,9.95,73.89,10,4.79,32.19,11.28,0.35,241.04,1.21,0.87,22.62,912.69,52.12,0.86,47.88,7.25,165.04,108.88,91.88,13.15,60.4,105.8,100.56,195.63,29.75,3.98,5.61,5.66,20.21,0.74,7.39,0.77,68669,20920,8670,22,9,8679,7693,7315,3635,1303,161884,79888,84381,66198,77347,9.97,2.41,112.1,2.26,1.05,0.46,119.62,583.91,0.93,290.73,0.05,0.02,0.47,0.04,5.49,603319
127,6.29,24.64,6.59,17.52,14.43,74.66,12.19,9.28,59.47,9.52,6.29,16.77,6.56,-0.7,171.74,2.31,1.96,86.21,4482.98,33.97,0.09,66.03,3.44,215.55,51.46,47.26,4.95,79.35,49.72,49.21,290.45,25.83,-0.75,9.37,12.56,9.65,0.55,1.6,0.38,195178,48096,28174,-27,-169,28005,21832,20732,26575,-2523,378297,254098,128523,109920,235296,9.66,3.13,86.13,3.75,0.88,0.54,72.01,499.63,0.82,329.87,0.14,0.07,1.12,0.21,24.18,002664
128,0.47,14.24,0.46,1.52,1.39,85.41,1.15,2.01,9.34,2.01,0.47,14.44,9.91,-2.24,982.4,1.3,1.24,23.2,166.58,76.58,0.13,23.42,2.52,245.78,327.03,60.75,9.72,74.66,67.29,287.2,142.24,9.56,42.07,64.37,1.9,-3.81,0.09,2.75,0.33,482868,68756,6699,-456,299,6999,5537,1336,63962,-21462,1178650,992924,902642,762998,276008,2.02,0.71,379.05,8.2,2.92,0.4,32.93,671.98,0.47,572.28,0.13,0.05,11.55,0.07,8.38,000957
129,-0.72,8.05,-0.71,-0.79,-0.85,91.42,-1.32,-4.2,-5.39,-3.54,-0.72,8.88,7.68,-8.04,-1017.76,0.83,0.66,23.95,-72.58,79.76,-0.48,20.24,1.59,98.98,394.13,115.05,4.22,56.09,221.55,327.22,144.82,20.9,-10.8,-1145.48,-25.77,-7.94,-0.05,1.53,0.16,262035,21095,-2239,-75,167,-2073,-2976,-3520,17168,-14548,481975,265870,384434,319175,70829,-4.03,2.87,94.05,3.98,1.83,0.54,67.9,498.89,0.97,279.71,0.07,0.04,25.53,0.04,5.38,900953
130,0.61,13.55,0.61,2.76,2.46,85.66,2.12,0.47,4.73,0.99,0.61,11.01,9.76,7.43,510.78,2.01,1.1,33.01,212.7,38.21,0.19,61.79,6,232.88,61.85,56.85,8.85,59.82,62.37,59.11,268.59,0,-0.72,-63.48,-10.08,-8.31,0.02,0,0.15,138717,18797,3412,5,268,3680,1315,77,7921,-8209,478299,293975,182775,145989,281141,0.47,2.47,109.52,0.9,1.04,0.29,300.37,942.74,0.46,583.66,0.06,0.02,2.7,0.04,5.43,002355
131,5.11,5.56,4.98,14.17,13.79,92.18,15.04,7.97,62.71,7.83,5.11,9.1,11.17,125.42,37.11,1.54,1.35,89.68,5840.36,34.75,0.11,65.25,1.39,472.79,53.25,93.57,2.08,72.22,95.57,39.63,353.55,13.29,-19.19,-35.11,6.48,2.07,0.62,5.1,-0.01,4268389,261308,588419,750854,50590,639009,633502,436083,-911065,-1325507,12566467,4730045,4366427,3075264,7951325,7.95,13.71,19.69,6.27,1.79,0.33,43.05,815.22,0.75,358.99,-0.21,-0.07,-1.42,-0.21,-29.63,601238
132,0.21,17.01,0.2,0.49,0.26,81.59,0.46,0.3,0.9,0.3,0.21,32.52,13.5,57.41,3621.11,1.7,1.19,35.07,140.96,31.1,0.13,68.9,3.72,221.5,45.15,56.42,5.81,60.52,76.39,40.47,240.66,28.03,-8.53,-80.96,-7.09,-10.5,0.01,,0.55,92774,15785,240,54,196,436,424,-424,9964,3725,205370,97282,63879,57257,141491,0.3,2.78,97.21,2.54,0.78,0.44,106.43,615.74,0.93,291.86,0.11,0.05,23.51,0.16,17.4,002708
133,3.31,21.49,3.75,15.54,14.91,77.17,15.58,7.91,70.62,7.49,3.31,22.35,18.08,92.63,143.16,0.6,0.47,14.24,511.66,55.8,-0.25,44.2,4.82,220.57,126.27,145.05,9.83,60.07,160.87,119.95,176.13,22.16,22.11,-36.18,6.05,42.7,0.74,6.18,0.35,126952,27277,18934,17530,119,19053,20644,14873,34328,-7312,597229,172613,333281,287815,261124,7.9,2.42,111.42,2.95,0.66,0.24,91.38,1120.8,0.84,321.47,0.27,0.06,1.74,0.1,11.93,603035
134,3.3,29.62,3.32,19.67,16.5,69.6,14.37,6.23,53.81,6.23,3.3,30.9,14.19,19.87,178.01,1.69,1.48,57.76,697.02,47.04,,52.96,,394.79,88.81,,,64.25,39.07,88.45,,13.27,-0.88,-26.97,6.71,57.09,0.54,4.39,0.15,32956,9761,5438,1044,46,5484,4735,4558,6286,-24047,143506,113810,67502,67226,76004,6.36,3.42,78.86,1.68,1.38,0.23,160.63,1169.34,0.28,950.37,0.19,0.04,1.33,0.09,9.35,300652
135,-2.87,8.29,-2.86,-5.46,-5.58,88.21,-5.91,-6.11,-55.52,-6.13,-2.87,17.99,10.69,21.05,-148.09,1.08,0.94,25.46,2008.53,53.23,6.46,46.77,16.32,152.13,113.81,92.92,45.74,82.49,111.48,94.96,124,19.75,-9.5,-327.71,-7.04,-1.79,-0.55,1.95,-0.09,4511542,373888,-251570,-52241,-901,-252471,-266151,-353326,375782,20219,9294673,4448583,4947589,4128078,4356800,-5.93,25.99,10.39,7.43,1.27,0.48,36.34,557.85,1.03,262.42,0.08,0.04,-6.41,0.08,9.1,000625
